name,cv_delta,cv_se,cv_z,ho_delta,ho_se,ho_z,verdict,min_z,source,cv_acc,ho_acc,pos_share_ho,theme,comb_z
EWMA_DIFF_2_10,0.0003927729772191,0.0006293436394986,0.6240993831796673,0.0002717391304347,0.0011505801787124,0.2361757446046692,noise,,screen_ordinary_part2.csv,0.5202961166706513,0.5232789855072464,0.5902361791815414,ordinary,0.8602751277843365
EWMA_DIFF_5_20,-0.0003785420722474,0.0005981708427451,-0.6328327046337652,-0.000203804347826,0.0012920355196207,-0.157738966716575,noise,,screen_ordinary_part2.csv,0.5195248016211848,0.5228034420289855,0.5952380952380952,ordinary,-0.7905716713503401
EWMA_HL2_OVER_VOL,-0.0002903104614228,0.0006155821287326,-0.4716031344518193,0.0003283514492753,0.001236152801074,0.2656236745085902,noise,,screen_ordinary_part2.csv,0.5196130332320092,0.523335597826087,0.5938262640931001,ordinary,-0.20597945994322908
RSI_5,-0.0003472340813096,0.0006122840005765,-0.5671127793355948,-0.0010190217391304,0.0012410490492839,-0.8210970708356604,noise,,screen_ordinary_part2.csv,0.5195561096121225,0.5219882246376811,0.5912547145075735,ordinary,-1.3882098501712552
STOCH_5,-0.0003614649862814,0.0005915831343915,-0.6110130009929255,0.0010303442028985,0.0012395162772432,0.831247012899332,noise,,screen_ordinary_part2.csv,0.5195418787071507,0.5240375905797102,0.5960448558923781,ordinary,0.22023401190640646
RSI_10,-0.0003187722713662,0.0006105326421667,-0.5221215858909236,0.0006340579710144,0.0012212817967823,0.5191741764144996,noise,,screen_ordinary_part2.csv,0.5195845714220659,0.5236413043478261,0.5925354470462476,ordinary,-0.0029474094764240233
STOCH_10,0.0001679246786661,0.000610028634117,0.2752734368103967,0.0004076086956521,0.0012757570072877,0.3195033954928032,noise,,screen_ordinary_part2.csv,0.5200712683720984,0.5234148550724638,0.5924648554889979,ordinary,0.5947768323031999
RSI_14,0.0005521591129023,0.0006158363068249,0.8966004549960273,0.001177536231884,0.001240609225224,0.9491596611909464,noise,,screen_ordinary_part2.csv,0.5204555028063345,0.5241847826086957,0.5950061515499889,ordinary,1.8457601161869737
STOCH_14,0.0007371608775345,0.000610228208387,1.2080085243568204,0.0010869565217391,0.001277331082198,0.8509591106705972,noise,,screen_ordinary_part2.csv,0.5206405045709667,0.5240942028985508,0.5915169117202154,ordinary,2.0589676350274173
RSI_20,7.115452485854495e-05,0.0006205970679614,0.1146549484873946,0.0001358695652173,0.0012856777643296,0.1056793303788958,noise,,screen_ordinary_part2.csv,0.5199744982182907,0.523143115942029,0.5978903208890503,ordinary,0.22033427886629042
STOCH_20,0.0007257761535571,0.0006300960042902,1.1518501127056768,0.0019248188405797,0.001225984227104,1.570019253123943,survivor,,screen_ordinary_part2.csv,0.5206291198469893,0.5249320652173913,0.5930800104878885,ordinary,2.72186936582962
BOLL_POS_20,9.39239728132792e-05,0.0006275318034496,0.1496720521525101,0.0007699275362318,0.0011607814474848,0.6632838058362887,noise,,screen_ordinary_part2.csv,0.5199972676662454,0.5237771739130435,0.5944817571247051,ordinary,0.8129558579887988
BOLL_BW_20,0.0001906941266209,0.0006135086448854,0.3108254923718254,-0.0004302536231884,0.0012604202655076,-0.3413572718264023,noise,,screen_ordinary_part2.csv,0.520094037820053,0.5225769927536232,0.5947943768782397,ordinary,-0.030531779454576913
BOLL_POS_10,-0.0007883921354326,0.0006039948962068,-1.3052960221748264,3.3967391304348064e-05,0.0013300930124991,0.0255376060058583,noise,,screen_ordinary_part2.csv,0.5191149515579995,0.523041213768116,0.587916742300478,ordinary,-1.2797584161689681
Z_RET1_VS_19,0.0001110010587793,0.0006087484180353,0.18234307554764,0.000985054347826,0.0011678391390691,0.8434846160501408,noise,,screen_ordinary_part2.csv,0.5200143447522115,0.5239923007246378,0.6009459268671467,ordinary,1.0258276915977809
Z_RET1_VS_5,-0.0006147750947778,0.0006010658775914,-1.022808177435215,-0.0005548007246376,0.0012787547354357,-0.4338601525871299,noise,,screen_ordinary_part2.csv,0.5192885685986544,0.522452445652174,0.597113813759303,ordinary,-1.4566683300223449
RANK_RET1_20,-4.5538895909468815e-05,0.0006089880472094,-0.074777979827586,-0.0008944746376811,0.0011711462540644,-0.7637599783774969,noise,,screen_ordinary_part2.csv,0.5198578047975227,0.5221127717391305,0.5918396159819286,ordinary,-0.8385379582050829
RET1_IN_RANGE_20,0.0003443879003153,0.0006063177079445,0.5679990800249334,0.0006793478260869,0.0011562969704615,0.5875201989120508,noise,,screen_ordinary_part2.csv,0.5202477315937475,0.5236865942028985,0.5957524051552006,ordinary,1.1555192789369841
ABSRANK_RET1_20,-0.0005720823798627,0.0005915072994568,-0.9671603045102252,-0.0004302536231884,0.0012612362374582,-0.3411364266344547,noise,,screen_ordinary_part2.csv,0.5193312613135694,0.5225769927536232,0.5895100945926867,ordinary,-1.3082967311446798
RET1_OVER_VOL20,0.0006716987146646,0.0006378348105304,1.053091966093942,-0.0004755434782608,0.0012746748066998,-0.3730704300119257,noise,,screen_ordinary_part2.csv,0.5205750424080968,0.5225317028985508,0.5967205179403401,ordinary,0.6800215360820163
RET1_OVER_VOL5,-0.0003984653392078,0.0006208197217273,-0.6418374372823918,-5.661231884057953e-05,0.0012516886577451,-0.0452287543633758,noise,,screen_ordinary_part3.csv,0.5195048783542243,0.522950634057971,0.5998870535084004,ordinary,-0.6870661916457677
RET1_OVER_MAD20,-0.0004952354930154,0.0006139626745696,-0.8066214992020156,0.0002490942028985,0.0012867244761285,0.1935878329197732,noise,,screen_ordinary_part3.csv,0.5194081082004167,0.5232563405797102,0.596004517859664,ordinary,-0.6130336662822424
RET1_X_RET2,0.0001138472397736,0.0006174160354278,0.1843930724843836,-0.001177536231884,0.0012324973185365,-0.9554067292270424,noise,,screen_ordinary_part3.csv,0.5200171909332059,0.5218297101449275,0.5902462636897199,ordinary,-0.7710136567426588
RET1_MINUS_RET2,-5.692361988683569e-05,0.0006386314916527,-0.0891337502626432,0.0020493659420289,0.0013141238875689,1.5594921920339155,noise,,screen_ordinary_part3.csv,0.5198464200735453,0.5250566123188406,0.5911841229503237,ordinary,1.4703584417712723
